id,lon,lat,srv_school,srv_pharmacy,srv_university,srv_mall
mp/w255854318,19.3900407,51.7956911,1,0,0,0
mp/w256775162,19.5099525,51.7625123,1,0,0,0
mp/w260254419,19.3897943,51.8006637,1,0,0,0
mp/w271252108,19.4460517,51.7114008,1,0,0,0
mp/w277525353,19.4919237,51.7423403,1,0,0,0
mp/w298557776,19.4486335,51.7947347,1,0,0,0
mp/w305970214,19.4436639,51.8241076,1,0,0,0
mp/w309048674,19.4868871,51.7947279,1,0,0,0
mp/w313238879,19.4540967,51.7938799,1,0,0,0
mp/w313238880,19.4536562,51.7938642,1,0,0,0
mp/w313238881,19.4539838,51.7938593,1,0,0,0
mp/w314487712,19.5027031,51.7409901,1,0,0,0
mp/w317163737,19.5448677,51.7609149,1,0,0,0
mp/w318807496,19.4778594,51.7616312,1,0,0,0
mp/w318976354,19.4843080,51.7551315,1,0,0,0
mp/w319393888,19.4583561,51.7967581,1,0,0,0
mp/w319493079,19.6818244,51.8842173,1,0,0,0
mp/w321034219,19.4308600,51.8263218,1,0,0,0
mp/w327877752,19.4587687,51.6417222,1,0,0,0
mp/w331588689,19.6344897,51.7208273,1,0,0,0
mp/w340202443,19.5007506,51.7442889,1,0,0,0
mp/w340488269,19.4971390,51.7430634,1,0,0,0
mp/w359309704,19.3871126,51.6854748,1,0,0,0
mp/w362098186,19.4039159,51.7930189,1,0,0,0
mp/w364456780,19.3983933,51.7902501,1,0,0,0
mp/w364457393,19.3865402,51.7922921,1,0,0,0
mp/w364560848,19.4057500,51.7913220,1,0,0,0
mp/w366435765,19.3744136,51.7923824,1,0,0,0
mp/w366502335,19.3783381,51.7945275,1,0,0,0
mp/w366520193,19.3806050,51.7987211,1,0,0,0
mp/w366938062,19.3730453,51.7970560,1,0,0,0
mp/w367297160,19.3988003,51.7928380,1,0,0,0
mp/w368905313,19.3894098,51.7842738,1,0,0,0
mp/w377972887,19.4265633,51.7501087,1,0,0,0
mp/w378173035,19.4156006,51.7900721,1,0,0,0
mp/w378173560,19.4278228,51.7817645,1,0,0,0
mp/w379371923,19.4320451,51.7832354,1,0,0,0
mp/w379756725,19.4237260,51.7874938,1,0,0,0
mp/w380570076,19.3958730,51.7991426,1,0,0,0
mp/w388082553,19.3413162,51.6655229,1,0,0,0
mp/w388083321,19.3527616,51.6671375,1,0,0,0
mp/w395856967,19.4771518,51.7778993,1,0,0,0
mp/w401292034,19.4127012,51.7754955,1,0,0,0
mp/w405201471,19.4947272,51.7498252,1,0,0,0
mp/w405380330,19.4580123,51.7454481,1,0,0,0
mp/w406067483,19.5102448,51.7629045,1,0,0,0
mp/w406286705,19.4842217,51.7458983,1,0,0,0
mp/w410517040,19.4619004,51.7566121,1,0,0,0
mp/w410517042,19.4626412,51.7572619,1,0,0,0
mp/w410545640,19.4619187,51.7546027,1,0,0,0
mp/w412748306,19.5060951,51.7723018,1,0,0,0
mp/w412758558,19.4427330,51.7514930,1,0,0,0
mp/w415804411,19.4947992,51.7722585,1,0,0,0
mp/w417598262,19.3184255,51.6908668,1,0,0,0
mp/w429856101,19.4721165,51.7563251,1,0,0,0
mp/w429911162,19.4645708,51.7556471,1,0,0,0
mp/w436868272,19.4627182,51.7637126,1,0,0,0
mp/w439364487,19.3740071,51.8107251,1,0,0,0
mp/w439378761,19.4302932,51.7924586,1,0,0,0
mp/w441764337,19.4374372,51.7588291,1,0,0,0
mp/w443201679,19.4657070,51.7740195,1,0,0,0
mp/w443203723,19.4596476,51.7756886,1,0,0,0
mp/w443203724,19.4610404,51.7767740,1,0,0,0
mp/w443203735,19.4582650,51.7776610,1,0,0,0
mp/w443794150,19.4699680,51.7756553,1,0,0,0
mp/w444603014,19.4464226,51.7711169,1,0,0,0
mp/w444603038,19.4417709,51.7702642,1,0,0,0
mp/w444607118,19.4331254,51.7700190,1,0,0,0
mp/w444610885,19.4471831,51.7724568,1,0,0,0
mp/w444610886,19.4458849,51.7720757,1,0,0,0
mp/w444627076,19.4500262,51.7752543,1,0,0,0
mp/w445153364,19.4572234,51.7828719,1,0,0,0
mp/w446330272,19.4767631,51.7777748,1,0,0,0
mp/w447705472,19.4773837,51.7628813,1,0,0,0
mp/w447831220,19.4813523,51.7659876,1,0,0,0
mp/w448926544,19.4534499,51.7410422,1,0,0,0
mp/w449894862,19.4807470,51.7769686,1,0,0,0
