hex_id,population,single_par,income_idx,hh_single,hh_size,osiedle
310,4565.35,23.7484,3020.6627,23.0453,2.5634,Widzew-Wschód
311,2150.75,22.2539,3033.2591,29.9471,2.3517,Olechów-Janów
312,453.43,19.284,3032.5327,15.334,2.8674,Nr 33
313,140.87,18.7886,3059.5496,17.7732,2.7556,Nr 33
314,79.42,23.2276,3051.8191,8.8142,3.4269,Nr 33
315,340.47,18.3223,2993.0093,7.2475,3.6589,Wiskitno
316,163.8,17.0831,2990.3,8.5982,3.6455,Wiskitno
317,82.88,17.0,2990.3,8.8,3.64,Wiskitno
318,12.15,27.5,2980.5,11.8,3.37,
319,26.43,27.5,2980.5,11.8,3.37,Wzniesień Łódzkich
320,82.7,14.9086,3068.1134,9.4899,3.4608,Nowosolna
321,131.74,13.3033,3069.2886,8.2031,3.5699,Nowosolna
322,419.35,20.3166,3057.022,12.8743,3.4739,Nowosolna
323,307.03,18.2321,3048.0393,12.0979,3.4967,Nowosolna
324,240.36,18.7098,3031.7,13.6818,3.544,Mileszki
325,176.75,13.978,3032.1093,11.2815,3.3779,Mileszki
326,1710.39,22.7837,3083.5029,26.3596,2.4638,Olechów-Janów
327,7306.69,19.2765,3051.9565,23.5137,2.4814,Olechów-Janów
328,7040.68,21.6596,3037.9588,23.6908,2.5012,Olechów-Janów
329,531.57,16.732,3067.3867,21.7258,2.5318,Nr 33
330,208.29,17.7129,2992.6986,8.0771,3.8633,Wiskitno
331,323.43,16.0409,2990.3,11.939,3.6138,Wiskitno
332,49.83,17.0,2990.3,8.8,3.64,
333,0.98,17.0,2990.3,8.8,3.64,
334,94.33,17.6,3069.3,11.5,3.26,Nowosolna
335,155.84,16.738,3069.3,10.8385,3.3221,Nowosolna
336,327.95,15.9288,3060.5528,9.8027,3.5548,Nowosolna
337,576.84,16.4259,3056.6,12.0227,3.3397,Nowosolna
338,349.91,14.1422,3047.2465,15.4916,3.1825,Mileszki
339,191.16,12.9583,3031.7,9.7855,3.4884,Mileszki
340,275.68,17.5255,3047.5284,14.1708,3.2277,Mileszki
341,1267.96,17.8985,3082.687,24.2274,2.4977,Olechów-Janów
342,3638.65,18.3482,3061.7778,21.2803,2.6626,Olechów-Janów
343,964.27,9.2445,3069.1243,22.1341,2.5507,Nr 33
344,180.7,15.4104,3016.503,11.5059,3.5945,Andrzejów
345,205.62,17.0385,2990.3,10.2495,3.8567,Wiskitno
346,105.26,16.694,2990.3,9.8014,3.6317,Wiskitno
347,15.54,16.9496,3069.3,11.1903,3.26,
348,157.86,16.6314,3069.3,11.0388,3.26,Nowosolna
349,517.12,12.0999,3069.3,11.5153,3.289,Nowosolna
350,365.13,14.7211,3061.7158,11.1903,3.3782,Nowosolna
351,304.53,14.7067,3056.6,20.379,3.1597,Nowosolna
352,178.0,14.5622,3039.232,9.089,3.6349,Mileszki
353,180.06,12.997,3031.7,10.7969,3.4522,Mileszki
354,185.61,16.5426,3051.1876,14.6534,3.2881,Mileszki
355,132.49,17.5719,3062.3929,11.1909,3.5593,Nr 33
356,137.3,20.3189,3070.4,17.8525,3.2557,Nr 33
357,158.85,19.2771,3040.464,14.2476,3.3828,Nr 33
358,175.24,15.9821,3003.5665,8.9445,3.7279,Andrzejów
359,193.25,15.0621,2990.3,11.3257,3.6421,Wiskitno
360,68.83,13.6065,2990.3,11.3589,3.5431,Wiskitno
361,85.64,15.5,3069.3,10.5,3.26,Nowosolna
362,179.15,15.3072,3069.3,10.1144,3.305,Nowosolna
