hex_id,population,income_index_pln,fam_pct_matki_samotne,n_obwody
713,2697.0,3065.661772339636,31.835780496848347,15
714,793.0,3064.90605296343,24.021059268600254,6
715,1164.0,3061.460481099656,32.047594501718216,7
716,2931.0,3052.5313886045724,31.917093142272257,14
717,541.0,3053.093900184843,36.810536044362294,3
718,347.0,3071.8,31.608069164265128,2
719,583.0,3061.4377358490565,28.235849056603772,5
720,2154.0,3051.0947075208915,34.839322191272046,17
721,2458.0,3048.6008950366154,32.20781122864117,15
722,1708.0,3050.6000000000004,21.1076112412178,7
723,3381.0,3027.1611357586517,27.76820467317361,22
724,1105.0,3010.5592760180994,35.406425339366514,11
725,1543.0,3013.391186001296,20.51289695398574,8
726,2860.0,3030.5895104895103,21.325307125307123,14
727,610.0,3031.2855737704917,22.91257606490872,4
728,438.0,3090.6,21.638536585365852,3
729,1609.0,3090.6000000000004,18.187632069608455,6
730,181.0,3090.6,11.8,1
734,0.0,,,1
741,304.0,3054.7,19.8,1
742,671.0,3054.7000000000003,19.417138599105815,3
743,273.0,3054.7,15.300000000000002,1
745,9.0,3054.4,33.3,1
746,2080.0,3070.2,30.607884615384613,14
747,172.0,3069.7267441860463,31.7,2
748,165.0,3062.8,21.7,1
749,812.0,3065.3389162561575,24.595689655172414,5
750,1225.0,3067.7720816326528,29.441061224489797,9
751,785.0,3067.794904458599,23.665350318471337,6
752,1806.0,3055.703986710964,27.58261351052049,11
753,2101.0,3041.2926225606857,36.669490718705376,11
754,1338.0,3053.9187593423017,36.13318385650224,8
755,351.0,3075.9000000000005,16.71111111111111,2
756,440.0,3061.7645454545454,28.67522727272727,2
757,1350.0,3049.8056296296295,32.18955555555555,10
758,2268.0,3035.3833333333337,27.543342151675482,16
759,2697.0,3014.173377827215,30.293993325917683,17
760,2787.0,3055.8185145317543,28.183961248654466,17
761,872.0,3021.314220183486,27.668807339449536,6
762,2073.0,3036.9544138929086,19.53434635793536,11
763,2437.0,3037.009643003693,22.79175215428806,10
764,345.0,3066.1513043478258,19.61130434782609,2
765,123.0,3034.1,50.0,1
766,486.0,3034.1000000000004,21.885596707818934,2
778,272.0,3063.4,17.6,1
780,402.0,3059.0067164179104,27.599751243781096,2
782,480.0,3054.4,23.168333333333333,4
783,193.0,3054.3999999999996,30.746113989637305,2
784,130.0,3054.4,29.0,1
785,1359.0,3071.0,30.497203826342904,9
786,454.0,3073.536343612335,35.85921375921376,5
787,1119.0,3080.2832886505807,27.263985701519214,7
789,156.0,3071.3,44.2,1
790,2326.0,3046.562897678418,26.1262252794497,15
791,979.0,3053.581818181818,27.060469867211438,6
792,2061.0,3068.552983988355,25.604415332362933,13
793,3751.0,3036.209037589976,26.178592375366566,19
794,1744.0,3029.713876146789,30.960565038257794,14
795,3666.0,3019.9338788870696,30.71721222040371,21
796,3389.0,3035.500531130127,29.944437887282387,17
797,708.0,3060.523305084746,24.63898305084746,5
798,568.0,3034.0091549295776,27.64401408450704,3
799,3197.0,3019.8869878010632,25.596371598373477,16
800,1294.0,3024.234466769706,21.733462132921172,5
802,156.0,3034.1,27.7,1
807,68.0,2981.9,25.0,1
811,115.0,3063.4,12.5,1
813,258.0,3063.4,17.1,1
814,328.0,3063.4,13.5,1
815,298.0,3063.3999999999996,15.26778523489933,2
816,168.0,3058.7,18.5,1
817,459.0,3056.1518518518524,19.014814814814812,2
820,138.0,3071.0,29.0,1
821,759.0,3071.0,25.214498933901915,14
822,1220.0,3089.2745901639346,15.716885245901638,9
823,324.0,3071.0,18.978703703703705,2
824,0.0,,,1
825,1755.0,3071.3,25.544843304843305,10
826,279.0,3071.3,17.1,1
827,323.0,3082.1,21.2,1
828,2634.0,3033.4406985573273,26.03488990129081,12
829,3029.0,3024.6741168702542,27.44410696599538,16
830,3488.0,3031.220212155963,26.616026376146788,21
831,4159.0,3026.854003366194,33.22207261360904,21
832,3528.0,3029.344529478458,28.33951247165533,25
833,640.0,3032.5996874999996,15.634062499999999,4
834,3146.0,3027.736172917991,22.875047679593138,13
835,3128.0,3013.132544757034,25.382257033248084,14
836,283.0,3012.3,35.3,1
850,389.0,3063.4,20.829305912596404,2
853,207.0,3051.8000000000006,28.3,1
855,178.0,3054.4000000000005,21.3,1
856,231.0,3054.4,27.5,1
857,477.0,3085.5597484276727,9.204535637149029,4
858,127.0,3071.0,10.7,1
859,392.0,3071.0,22.570408163265306,4
860,803.0,3060.3144458281445,34.31170610211706,4
861,956.0,3059.5999999999995,27.406066945606696,5
863,321.0,3082.1,18.4,1
864,1527.0,3056.0697445972496,22.773149967256057,7
865,3340.0,3025.5508083832333,28.768113772455095,17
866,3376.0,3031.88587085308,30.654295023696687,21
867,5117.0,3021.5889974594493,28.04864178229431,26
868,4865.0,3026.658232271326,31.658396711202474,31
869,1095.0,3029.2710502283103,34.97397260273973,9
870,2425.0,3051.1223092783503,16.16222680412371,10
871,413.0,3060.0,18.5,1
872,116.0,3012.3,11.4,1
873,215.0,3034.1,12.1,1
875,119.0,3034.1,18.2,1
880,190.0,2980.5,16.9,1
891,307.0,3058.7,13.3,1
894,302.0,3086.0,14.9,1
895,188.0,3086.0,13.599999999999998,1
896,81.0,3086.0,38.9,1
897,2494.0,3044.9480352846836,33.1607858861267,13
899,12.0,3059.6,33.3,1
901,1715.0,3104.1999999999994,9.353177842565596,7
